System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
43 5000.00 812.60 100.013045 0.9969811071590499 0.997325 -1347275.620414 266.390797 44.247091 134.753387 -612.476608 6306.477521 -13.601 0.000 2.259551 2.550945 5.147 n/a n/a
47 4851.50 808.40 100.013243 0.9955692815864674 0.996079 -1348424.581029 265.940233 44.307489 134.748862 -622.780799 6339.951288 -13.690 0.000 2.256099 2.550475 5.178 n/a n/a
46 4802.00 810.30 100.013223 1.0000000000000000 1.000000 -1348278.262016 266.277835 44.366023 134.797797 -629.105594 6366.505736 -13.650 0.000 2.254275 0.000000 5.180 n/a n/a
47 4901.00 807.50 100.013238 0.9925470686033193 0.993397 -1348411.858653 265.749159 44.260589 134.715027 -617.325255 6318.002363 -13.709 0.000 2.257711 2.550632 5.174 n/a n/a
44 5000.00 811.60 100.013071 0.9954667654513554 0.995982 -1347436.611452 266.242839 44.235599 134.738083 -611.613038 6301.859405 -13.622 0.000 2.259748 2.550945 5.150 n/a n/a
48 4851.50 807.40 100.013270 0.9940505691430248 0.994733 -1348585.591691 265.791692 44.295874 134.733488 -621.901583 6335.344428 -13.712 0.000 2.256297 2.550475 5.181 n/a n/a
48 4901.00 806.50 100.013265 0.9910351277694623 0.992056 -1348572.746787 265.600608 44.249048 134.699650 -616.451946 6313.388148 -13.731 0.000 2.257910 2.550632 5.177 n/a n/a
46 4950.50 809.60 100.013153 0.9940797445517759 0.994754 -1347916.209553 266.003592 44.248609 134.727329 -614.510370 6310.067408 -13.665 0.000 2.258723 2.550788 5.162 n/a n/a
45 5000.00 810.60 100.013097 0.9939547210665933 0.994641 -1347597.552094 266.094793 44.224122 134.722768 -610.749761 6297.239771 -13.643 0.000 2.259946 2.550945 5.153 n/a n/a
49 4851.50 806.40 100.013297 0.9925341688193172 0.993389 -1348746.551838 265.643061 44.284273 134.718103 -621.022667 6330.735991 -13.733 0.000 2.256495 2.550475 5.184 n/a n/a
47 4950.50 808.60 100.013179 0.9925676431229309 0.993412 -1348077.126438 265.855298 44.237099 134.711984 -613.642064 6305.450567 -13.686 0.000 2.258921 2.550788 5.165 n/a n/a
48 4802.00 808.30 100.013276 0.9970916963226325 0.997428 -1348598.107948 265.983136 44.343138 134.767393 -627.387937 6357.459073 -13.692 0.000 2.254679 2.550319 5.186 n/a n/a
