System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
45 8944.44 1429.80 100.111851 0.9958246517180218 0.996323 -1192160.203538 288.663418 36.059032 157.012848 -145.407443 2631.472929 -5.485 0.000 2.774942 3.152970 1.067 n/a n/a
46 10000.00 1448.20 100.110763 0.9990080375202728 0.999124 -1185782.261369 290.157109 35.970057 157.129610 -139.557334 2636.513411 -5.270 0.000 2.782845 3.152929 1.011 n/a n/a
46 8944.44 1427.80 99.695972 0.9956250408583284 0.996148 -1187361.787923 287.265952 35.902848 156.302567 -144.862885 2620.448056 -5.501 0.000 2.775369 3.153712 1.075 n/a n/a
47 10000.00 1448.30 100.110760 0.9992287647863788 0.999319 -1185756.141257 290.172252 35.971271 157.137902 -139.578958 2636.775472 -5.270 0.000 2.782823 3.152892 1.010 n/a n/a
47 8944.44 1425.80 99.261930 0.9956481349689371 0.996169 -1182328.048251 285.823214 35.741152 155.570145 -144.318350 2609.218858 -5.517 0.000 2.775794 3.154455 1.083 n/a n/a
48 10000.00 1448.40 100.110757 0.9994495780709647 0.999514 -1185730.015030 290.187397 35.972486 157.146196 -139.600590 2637.037619 -5.269 0.000 2.782802 3.152855 1.010 n/a n/a
49 10000.00 1448.50 100.110754 0.9996704774669343 0.999709 -1185703.882683 290.202545 35.973701 157.154494 -139.622231 2637.299850 -5.268 0.000 2.782780 3.152818 1.010 n/a n/a
48 8944.44 1423.80 98.832080 0.9956708956290377 0.996189 -1177344.500379 284.394111 35.581031 154.844959 -143.779068 2598.099118 -5.534 0.000 2.776218 3.155201 1.091 n/a n/a
50 10000.00 1448.60 100.110751 0.9998914630665273 0.999904 -1185677.744210 290.217696 35.974916 157.162795 -139.643880 2637.562167 -5.267 0.000 2.782758 3.152781 1.009 n/a n/a
51 10000.00 1448.70 100.110749 1.0000000000000000 1.000000 -1185656.899598 290.229780 35.975647 157.166875 -139.654383 2637.690496 -5.266 0.000 2.782737 0.000000 1.009 n/a n/a
49 8944.44 1421.80 98.406350 0.9956933254284566 0.996209 -1172410.292513 282.978415 35.422459 154.126885 -143.244951 2587.087014 -5.550 0.000 2.776640 3.155948 1.099 n/a n/a
52 10000.00 1448.70 100.110749 1.0000000000000000 1.000000 -1185656.899597 290.229780 35.975647 157.166875 -139.654383 2637.690496 -5.266 0.000 2.782737 0.000000 1.009 n/a n/a
50 8944.44 1419.80 97.984671 0.9957154267650974 0.996229 -1167524.588250 281.575902 35.265409 153.415805 -142.715913 2576.180763 -5.566 0.000 2.777061 3.156697 1.107 n/a n/a
53 10000.00 1446.70 100.110808 0.9957012199703414 0.996204 -1186174.064698 289.929862 35.951861 157.005381 -139.233394 2632.585322 -5.282 0.000 2.783174 3.153487 1.017 n/a n/a
51 8944.44 1417.81 97.566974 0.9957372018435681 0.996248 -1162686.566058 280.186355 35.109856 152.711601 -142.191869 2565.378609 -5.583 0.000 2.777480 3.157448 1.115 n/a n/a
54 10000.00 1444.69 99.682583 0.9955920352591773 0.996108 -1181245.871863 288.494445 35.791994 156.277628 -138.704080 2621.339161 -5.298 0.000 2.783610 3.154233 1.025 n/a n/a
52 8944.44 1415.81 97.153192 0.9957586526695903 0.996267 -1157895.418769 278.809555 34.955775 152.014157 -141.672737 2554.678832 -5.599 0.000 2.777898 3.158201 1.124 n/a n/a
55 10000.00 1442.69 99.245316 0.9956153986945558 0.996129 -1176199.198250 287.037728 35.629510 155.539744 -138.176829 2610.017061 -5.314 0.000 2.784045 3.154980 1.032 n/a n/a
53 8944.44 1413.81 96.743257 0.9957797810490405 0.996286 -1153150.353069 277.445292 34.803141 151.323360 -141.158434 2544.079738 -5.616 0.000 2.778314 3.158955 1.132 n/a n/a
56 10000.00 1440.69 98.812295 0.9956384252213573 0.996150 -1171203.108650 285.594869 35.468617 154.809188 -137.654717 2598.806048 -5.330 0.000 2.784478 3.155730 1.040 n/a n/a
54 8944.44 1411.81 96.337106 0.9958005885787405 0.996305 -1148450.589012 276.093358 34.651929 150.639099 -140.648879 2533.579667 -5.632 0.000 2.778729 3.159712 1.140 n/a n/a
57 10000.00 1438.69 98.383449 0.9956611175368361 0.996170 -1166256.742544 284.165634 35.309290 154.085837 -137.137659 2587.704275 -5.346 0.000 2.784910 3.156481 1.048 n/a n/a
55 8944.44 1409.81 95.934674 0.9958210766440874 0.996323 -1143795.359524 274.753547 34.502115 149.961265 -140.143995 2523.176984 -5.649 0.000 2.779143 3.160470 1.148 n/a n/a

56 8944.44 1407.81 95.535898 0.9958412464105793 0.996342 -1139183.909923 273.425660 34.353677 149.289748 -139.643702 2512.870081 -5.665 0.000 2.779555 3.161231 1.156 n/a n/a
