System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
18 4000.00 1349.00 100.095313 0.9982398312782965 0.992837 -1190216.646786 289.807458 37.674083 153.054160 -233.855047 3205.553089 -7.506 0.000 2.671334 0.652838 1.299 n/a n/a
19 4000.00 1346.00 100.095519 0.9997586155010659 0.999014 -1191388.536011 289.187809 37.491918 153.080066 -202.879151 3130.418748 -7.534 0.000 2.671780 0.653477 1.308 n/a n/a
19 4000.00 1346.00 100.142367 0.9997156473625484 0.998839 -1192038.359745 289.306302 37.536576 153.320393 -204.385216 3148.878736 -6.534 0.000 2.670202 0.653458 1.309 n/a n/a
19 4000.00 1346.00 100.142157 0.9981961891803710 0.992670 -1191325.592720 289.642630 37.709234 153.291141 -235.357539 3224.092243 -6.534 0.000 2.670424 0.653516 1.309 n/a n/a
19 4000.00 1346.00 100.206718 0.9981407638883317 0.992452 -1192216.431001 289.790630 37.770503 153.622286 -237.380612 3249.457671 -5.534 0.000 2.668249 0.653492 1.310 n/a n/a
19 4000.00 1346.00 100.095378 0.9982384375604371 0.992837 -1190676.715435 289.524318 37.664637 153.051207 -233.851571 3205.661423 -7.534 0.000 2.672001 0.653536 1.309 n/a n/a
20 4000.00 1343.00 100.095586 0.9997571753482909 0.999009 -1191848.703642 288.904097 37.482704 153.079164 -202.927845 3130.487004 -7.561 0.000 2.672448 0.654178 1.318 n/a n/a
20 4000.00 1343.00 100.142462 0.9997141289280022 0.998834 -1192499.630410 289.022195 37.527337 153.319553 -204.440285 3148.960483 -6.561 0.000 2.670872 0.654158 1.319 n/a n/a
20 4000.00 1343.00 100.063022 0.9997880017759806 0.999134 -1191394.803594 288.814363 37.451604 152.912167 -201.859605 3117.630495 -8.561 0.000 2.673544 0.654191 1.317 n/a n/a
20 4000.00 1343.00 100.142252 0.9981947132600101 0.992670 -1191786.771774 289.358578 37.699765 153.287481 -235.360390 3224.214790 -6.561 0.000 2.671093 0.654217 1.319 n/a n/a
20 4000.00 1343.00 100.095445 0.9982370397621938 0.992837 -1191136.793255 289.240661 37.655192 153.047491 -233.848044 3205.770552 -7.561 0.000 2.672669 0.654236 1.319 n/a n/a
20 4000.00 1343.00 100.062929 0.9982673648116125 0.992957 -1190683.553531 289.151063 37.624134 152.880771 -232.779878 3192.934386 -8.561 0.000 2.673765 0.654250 1.318 n/a n/a
21 4000.00 1340.00 100.142559 0.9997126053294821 0.998829 -1192960.925177 288.737566 37.518100 153.318528 -204.495390 3149.043147 -6.589 0.000 2.671542 0.654860 1.329 n/a n/a
21 4000.00 1340.00 100.142348 0.9981932339284506 0.992670 -1192247.965241 289.074010 37.690298 153.282655 -235.363181 3224.338336 -6.589 0.000 2.671763 0.654919 1.329 n/a n/a
21 4000.00 1340.00 100.062976 0.9982660251323083 0.992957 -1191142.837392 288.867154 37.614704 152.875890 -232.771706 3193.033893 -8.589 0.000 2.674432 0.654953 1.328 n/a n/a
22 4000.00 1337.00 100.142657 0.9997110778879537 0.998823 -1193422.243601 288.452412 37.508865 153.317209 -204.550505 3149.126706 -6.617 0.000 2.672213 0.655565 1.339 n/a n/a
22 4000.00 1337.00 100.095724 0.9997542825088497 0.998999 -1192769.087199 288.335104 37.464279 153.076792 -203.025258 3130.625589 -7.617 0.000 2.673785 0.655585 1.338 n/a n/a
22 4000.00 1337.00 100.063023 0.9982646846956196 0.992958 -1191602.117682 288.582728 37.605274 152.869254 -232.763402 3193.133994 -8.617 0.000 2.675099 0.655658 1.338 n/a n/a
22 4000.00 1337.00 100.142446 0.9981917527916138 0.992670 -1192709.169015 288.788925 37.680831 153.275997 -235.365873 3224.462867 -6.617 0.000 2.672433 0.655624 1.340 n/a n/a
23 4000.00 1334.00 100.142757 0.9997095485093365 0.998818 -1193883.584784 288.166731 37.499631 153.315392 -204.605590 3149.211121 -6.645 0.000 2.672883 0.656273 1.349 n/a n/a
23 4000.00 1334.00 100.063165 0.9997838444249558 0.999119 -1192772.977978 287.960879 37.424009 152.908068 -201.991936 3117.807452 -8.645 0.000 2.675547 0.656307 1.348 n/a n/a
23 4000.00 1334.00 100.142547 0.9981902721756272 0.992670 -1193170.376255 288.503327 37.671365 153.266261 -235.368412 3224.588357 -6.645 0.000 2.673103 0.656332 1.350 n/a n/a
23 4000.00 1334.00 100.207550 0.9996527581684902 0.998588 -1194781.543099 288.312687 37.560828 153.647010 -206.663068 3174.682484 -5.645 0.000 2.670718 0.656247 1.350 n/a n/a
23 4000.00 1334.00 100.207243 0.9981344763133679 0.992451 -1194067.023196 288.649058 37.732480 153.597286 -237.425631 3250.019307 -5.645 0.000 2.670937 0.656306 1.351 n/a n/a
23 4000.00 1334.00 100.095654 0.9982328363453306 0.992838 -1192517.047265 288.386594 37.626862 153.026358 -233.836821 3206.102550 -7.645 0.000 2.674674 0.656352 1.349 n/a n/a
24 4000.00 1331.00 100.142860 0.9997080200992124 0.998813 -1194344.946921 287.880525 37.490397 153.312650 -204.660589 3149.296332 -6.672 0.000 2.673554 0.656983 1.359 n/a n/a
24 4000.00 1331.00 100.063214 0.9997824592017932 0.999114 -1193232.386176 287.675332 37.414812 152.905688 -202.035874 3117.867302 -8.672 0.000 2.676216 0.657018 1.358 n/a n/a
24 4000.00 1331.00 100.207381 0.9981329056498618 0.992451 -1194529.695554 288.362384 37.722977 153.581554 -237.436523 3250.162746 -5.672 0.000 2.671610 0.657016 1.361 n/a n/a
24 4000.00 1331.00 100.063121 0.9982620120904678 0.992958 -1192520.635702 288.012340 37.586415 152.844691 -232.746154 3193.335840 -8.672 0.000 2.676435 0.657076 1.359 n/a n/a
24 4000.00 1331.00 100.142649 0.9981887955918973 0.992670 -1193631.574703 288.217220 37.661900 153.250869 -235.370718 3224.714767 -6.672 0.000 2.673773 0.657042 1.360 n/a n/a
24 4000.00 1331.00 100.095726 0.9982314401441447 0.992838 -1192977.113724 288.100882 37.617419 153.011209 -233.832675 3206.214656 -7.672 0.000 2.675343 0.657062 1.359 n/a n/a
25 4000.00 1328.00 100.063264 0.9997810808328791 0.999110 -1193691.798971 287.389258 37.405614 152.901859 -202.079595 3117.927435 -8.700 0.000 2.676885 0.657732 1.368 n/a n/a
25 4000.00 1328.00 100.142964 0.9997064973288963 0.998808 -1194806.326190 287.593792 37.481165 153.307965 -204.715406 3149.382238 -6.700 0.000 2.674225 0.657697 1.369 n/a n/a
