Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
44 7000.00 1332.54 93.671103 49.2833 0.609344 15.5543 0.512166 0 7.00767 12.5704 12.5071 1.60354 0.0855219 0 0.213805
43 10000.00 1342.35 91.113787 49.228 0.62096 15.8669 0.501271 0 7.08314 12.2779 12.4187 1.64333 0.0879223 0 0.219806
47 1000.00 1310.56 95.811838 49.0872 0.595729 15.2068 0.545217 0 7.03497 13.3594 12.2345 1.56771 0.0836111 0 0.209028
45 7000.00 1330.54 93.377426 49.3105 0.61126 15.6032 0.512562 0 7.00061 12.4581 12.5449 1.60858 0.0857909 0 0.214477
48 4000.00 1319.37 94.274826 49.2261 0.605441 15.4547 0.528084 0 7.01522 12.7938 12.4275 1.59327 0.0849742 0 0.212436
46 7000.00 1328.53 93.087264 49.3374 0.613165 15.6519 0.512952 0 6.99344 12.3465 12.5826 1.61359 0.0860583 0 0.215146
45 10000.00 1338.35 88.916398 49.1469 0.63052 16.1311 0.503922 0 7.16025 12.0915 12.2887 1.67851 0.0900951 0 0.225238
47 7000.00 1326.53 92.800559 49.3643 0.61506 15.7002 0.513334 0 6.98614 12.2356 12.62 1.61858 0.0863242 0 0.21581
46 10000.00 1336.35 87.849393 49.1075 0.635202 16.2622 0.505207 0 7.19845 11.999 12.2233 1.69613 0.0911894 0 0.227973
48 7000.00 1324.53 92.517256 49.391 0.616943 15.7483 0.51371 0 6.97873 12.1253 12.6572 1.62353 0.0865885 0 0.216471
51 1000.00 1302.54 94.551567 49.1988 0.603669 15.4095 0.547511 0 7.01336 12.8911 12.3901 1.5886 0.0847255 0 0.211814
49 7000.00 1322.52 92.237301 49.4175 0.618816 15.7961 0.514079 0 6.9712 12.0158 12.6942 1.62846 0.0868513 0 0.217128
52 1000.00 1300.54 94.246153 49.2263 0.605626 15.4594 0.548065 0 7.00763 12.7757 12.4284 1.59375 0.0850001 0 0.2125
50 7000.00 1320.52 91.960642 49.4439 0.620677 15.8436 0.514441 0 6.96356 11.9069 12.731 1.63336 0.0871126 0 0.217782
48 10000.00 1332.34 85.775107 49.0308 0.64437 16.5225 0.507699 0 7.27413 11.8154 12.0915 1.73144 0.0933946 0 0.233486
53 4000.00 1309.39 92.808673 49.3612 0.615006 15.6988 0.530349 0 6.98217 12.232 12.6158 1.61844 0.0863166 0 0.215792
49 10000.00 1330.34 84.766465 48.9935 0.648855 16.6518 0.508906 0 7.31164 11.7244 12.0252 1.74914 0.0945059 0 0.236265
54 4000.00 1307.39 92.525825 49.3878 0.616886 15.7468 0.530781 0 6.97519 12.1216 12.6528 1.62338 0.0865805 0 0.216451
