Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
29 7000.00 1362.59 98.904682 48.8274 0.5771 14.7312 0.50352 0 7.10472 14.4616 11.8707 1.51868 0.0809965 0 0.202491
32 1000.00 1334.60 99.999945 48.7365 0.570779 14.5699 0.537572 0 7.08633 14.8302 11.746 1.50205 0.0801094 0 0.200273
31 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
27 10000.00 1374.39 98.187637 48.8878 0.581314 14.8388 0.491174 0 7.10461 14.216 11.9545 1.52977 0.081588 0 0.20397
30 7000.00 1360.58 98.545083 48.8572 0.579206 14.785 0.504042 0 7.09972 14.3382 11.9122 1.52423 0.081292 0 0.20323
33 1000.00 1334.50 99.999942 48.7365 0.570779 14.5699 0.537541 0 7.08636 14.8302 11.746 1.50205 0.0801094 0 0.200273
32 4000.00 1351.30 99.997952 48.7375 0.570791 14.5702 0.517686 0 7.10437 14.8305 11.7463 1.50208 0.080111 0 0.200277
28 10000.00 1372.39 97.838069 48.9172 0.583391 14.8918 0.491635 0 7.09897 14.0944 11.9956 1.53524 0.0818795 0 0.204699
31 7000.00 1358.58 98.190252 48.8868 0.581299 14.8384 0.504556 0 7.09458 14.2155 11.9535 1.52973 0.0815858 0 0.203965
34 1000.00 1334.60 99.999945 48.7365 0.570779 14.5699 0.537572 0 7.08633 14.8302 11.746 1.50205 0.0801094 0 0.200273
35 1000.00 1334.60 99.999945 48.7365 0.570779 14.5699 0.537572 0 7.08633 14.8302 11.746 1.50205 0.0801094 0 0.200273
33 4000.00 1349.31 99.633425 48.767 0.572879 14.6235 0.518246 0 7.10043 14.708 11.7873 1.50758 0.0804041 0 0.20101423
32 7000.00 1356.58 97.840088 48.9162 0.583379 14.8915 0.505062 0 7.0893 14.0934 11.9945 1.53521 0.0818778 0 0.204695
